HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
Arsenal,Crystal Palace,H,1.25,5.96,12.43
Leicester,Everton,D,3.06,3.32,2.36
Man United,Swansea,A,1.34,4.96,9.32
QPR,Hull,A,2.47,3.18,3.02
Stoke,Aston Villa,A,1.92,3.38,4.27
West Brom,Sunderland,D,2.23,3.31,3.34
West Ham,Tottenham,A,3.74,3.43,2.03
Liverpool,Southampton,H,1.34,5.16,9
Newcastle,Man City,A,5.24,4,1.64
Burnley,Chelsea,A,8.72,4.63,1.39
Aston Villa,Newcastle,D,2.5,3.27,2.92
Chelsea,Leicester,H,1.2,6.79,14.59
Crystal Palace,West Ham,A,2.44,3.18,3.07
Everton,Arsenal,D,2.71,3.3,2.65
Southampton,West Brom,D,1.86,3.52,4.43
Swansea,Burnley,H,1.64,3.83,5.65
Hull,Stoke,D,2.44,3.16,3.1
Sunderland,Man United,D,4.8,3.68,1.76
Tottenham,QPR,H,1.46,4.37,7.21
Man City,Liverpool,H,1.83,3.72,4.26
Burnley,Man United,D,5.97,3.89,1.6
Everton,Chelsea,A,3.56,3.31,2.15
Man City,Stoke,A,1.19,7.04,15.58
Newcastle,Crystal Palace,D,1.72,3.6,5.22
QPR,Sunderland,H,2.41,3.17,3.13
Swansea,West Brom,H,1.85,3.51,4.47
West Ham,Southampton,A,2.73,3.26,2.65
Aston Villa,Hull,H,2.25,3.15,3.47
Leicester,Arsenal,D,4.48,3.6,1.82
Tottenham,Liverpool,A,2.63,3.38,2.68
Arsenal,Man City,D,2.93,3.35,2.43
Chelsea,Swansea,H,1.3,5.41,10.78
Crystal Palace,Burnley,D,2.19,3.24,3.5
Liverpool,Aston Villa,A,1.29,5.58,10.79
Southampton,Newcastle,H,1.78,3.6,4.78
Stoke,Leicester,A,2.09,3.24,3.8
Sunderland,Tottenham,D,3.59,3.37,2.11
West Brom,Everton,A,3.45,3.37,2.15
Man United,QPR,H,1.27,5.72,11.51
Hull,West Ham,D,2.13,3.28,3.63
Aston Villa,Arsenal,A,4.6,3.53,1.82
Burnley,Sunderland,D,2.5,3.2,2.96
Newcastle,Hull,D,2.14,3.29,3.59
QPR,Stoke,D,2.74,3.11,2.76
Swansea,Southampton,A,2.45,3.29,2.97
West Ham,Liverpool,H,4.38,3.78,1.8
Everton,Crystal Palace,A,1.39,4.68,8.48
Leicester,Man United,H,5.39,3.98,1.64
Man City,Chelsea,D,2.37,3.39,2.99
Tottenham,West Brom,A,1.5,4.2,6.84
Arsenal,Tottenham,D,1.77,3.72,4.65
Chelsea,Aston Villa,H,1.21,6.5,14.22
Crystal Palace,Leicester,H,2.6,3.27,2.79
Hull,Man City,A,6.34,4.03,1.55
Liverpool,Everton,D,1.91,3.63,4
Man United,West Ham,H,1.38,5.08,7.84
Southampton,QPR,H,1.44,4.42,7.77
Sunderland,Swansea,D,2.79,3.21,2.62
West Brom,Burnley,H,1.98,3.37,4.02
Stoke,Newcastle,H,2.1,3.32,3.64
Aston Villa,Man City,A,7.25,4.2,1.48
Hull,Crystal Palace,H,2.07,3.34,3.72
Leicester,Burnley,D,1.78,3.57,4.8
Liverpool,West Brom,H,1.43,4.63,7.36
Sunderland,Stoke,H,2.5,3.17,2.97
Swansea,Newcastle,D,1.87,3.52,4.31
Chelsea,Arsenal,H,1.66,3.83,5.4
